product_id,product_name,brand,category,category_group,variant_label,selection_reason,source_url
ELK001,iPhone 17 256 GB Siyah,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,256 GB,"Elektronik, Cep Telefonu - marka çeşitliliği için seçildi","https://www.akakce.com/cep-telefonu/en-ucuz-iphone-17-256-gb-siyah-fiyati,1182756127.html"
ELK004,Samsung Galaxy S25 FE 256 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,256 GB,"Elektronik, Cep Telefonu - marka çeşitliliği için seçildi","https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-fe-fiyati,798379492.html"
EVY001,Tefal Ingenio Ceramic Renew 11 Parça Büyük Tencere Seti,Tefal,"Ev, Yaşam, Ofis, Kırtasiye",ev_yasam_ofis_kirtasiye,11 Parça,"Ev, Yaşam, Ofis, Kırtasiye - marka çeşitliliği için seçildi","https://www.akakce.com/tencere/en-ucuz-tefal-ingenio-ceramic-renew-buyuk-set-11-parca-fiyati,271052679.html"
EVY006,Nehir Silver 6 Parça Çelik Mini Tencere Seti,Nehir,"Ev, Yaşam, Ofis, Kırtasiye",ev_yasam_ofis_kirtasiye,6 Parça,"Ev, Yaşam, Ofis, Kırtasiye - marka çeşitliliği için seçildi","https://www.akakce.com/tencere/en-ucuz-nehir-silver-6-parca-celik-mini-seti-fiyati,864382119.html"
ABO001,Molfix 6 Numara Extra Large 80'li Bebek Bezi,Molfix,"Anne, Bebek, Oyuncak",anne_bebek_oyuncak,6 Numara,"Anne, Bebek, Oyuncak - marka çeşitliliği için seçildi","https://www.akakce.com/bebek-bezi/en-ucuz-molfix-6-numara-extra-large-80-li-fiyati,1150696289.html"
ABO002,Prima Premium Care 5 Numara Junior 74'lü Bebek Bezi,Prima,"Anne, Bebek, Oyuncak",anne_bebek_oyuncak,5 Numara,"Anne, Bebek, Oyuncak - marka çeşitliliği için seçildi","https://www.akakce.com/bebek-bezi/en-ucuz-prima-premium-care-5-numara-junior-74-lu-firsat-paketi-fiyati,327169416.html"
SMT001,Calvin Klein Must K60K610294 Kadın Çapraz Çanta,Calvin Klein,"Saat, Moda, Takı, Ayakkabı",saat_moda_taki_ayakkabi,K60K610294,"Saat, Moda, Takı, Ayakkabı - marka çeşitliliği için seçildi","https://www.akakce.com/omuz-cantasi/en-ucuz-calvin-klein-must-k60k610294-kadin-capraz-canta-fiyati,152373938.html"
SMT003,Haegs 20 lt Termos Soğutucu Sırt Çantası,Haegs,"Saat, Moda, Takı, Ayakkabı",saat_moda_taki_ayakkabi,20 lt,"Saat, Moda, Takı, Ayakkabı - marka çeşitliliği için seçildi","https://www.akakce.com/kamp-buzlugu/en-ucuz-haegs-20-lt-termos-sirt-cantasi-fiyati,873314963.html"
KMH001,Anatolian Dünya Haritası Puzzle 2000 Parça 3935,Anatolian,"Kitap, Müzik, Hobi",kitap_muzik_hobi,2000 Parça,"Kitap, Müzik, Hobi - marka çeşitliliği için seçildi","https://www.akakce.com/puzzle/en-ucuz-anatolian-dunya-haritasi-2000-parca-3935-fiyati,2018361944.html"
KMH002,CA Games Mona Lisa Puzzle 1000 Parça 7022,CA Games,"Kitap, Müzik, Hobi",kitap_muzik_hobi,1000 Parça,"Kitap, Müzik, Hobi - marka çeşitliliği için seçildi","https://www.akakce.com/puzzle/en-ucuz-ca-games-mona-lisa-1000-parca-7022-fiyati,510076072.html"
