row_number,product_id,keyword,method,domain,url,provisional_relevant,confidence_score,confidence_level,needs_human_review,review_status,ai_review_notes,original_observation_notes
1,P001,Apple iPhone 16 Pro Max 256 GB fiyat,,apple.com,https://www.apple.com/shop/buy-iphone/iphone-16,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Apple sayfası iPhone 16 / 16 Plus içindir; Pro Max modeliyle eşleşmiyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.95.
2,P001,Apple iPhone 16 Pro Max 256 GB fiyat,,bestbuy.com,https://www.bestbuy.com/site/searchpage.jsp?st=iphone+16+pro+max&id=pcat17071,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Mağaza arama sonucu iPhone 16 Pro Max 256 GB satış ilanları içeriyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=false@0.1.
3,P001,Apple iPhone 16 Pro Max 256 GB fiyat,,ebay.com,https://www.ebay.com/b/Apple-iPhone-16-Pro-Max/9355/bn_7122966045,true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Pazaryeri kategori sayfasında iPhone 16 Pro Max 256 GB ilanları bulunuyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.9.
4,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-256-gb-titanyum-siyah-fiyati,917799231.html",true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası.,Human review required; observed methods: agentic_search; predictions: agentic_search=true@1.
5,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-256-gb-titanyum-yesil-fiyati,1044569774.html",true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası; renk sonucu değiştirmez.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
6,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-fiyati,651960345.html",true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Model fiyat sayfası 256 GB varyant ve mağaza teklifleri içeriyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
7,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,amazon.com,https://www.amazon.com/SAMSUNG-S25-Ultra-Smartphone-Processor/dp/B0F39CGPQV,true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru modelin 256 GB yenilenmiş satış sayfası; ürün durumu relevance değerini değiştirmez.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.8.
8,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-samsung-galaxy-s25-ultra-256gb-12gb-ram-fiyatlari,a2432333010",true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
9,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-samsung-galaxy-s25-ultra-256gb-12gb-ram-mavi-titanyum-fiyatlari,2432116719",true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası; renk sonucu değiştirmez.,Human review required; observed methods: selenium_nano_llm | selenium_rule_based; predictions: selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
10,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,mediamarkt.com.tr,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s25-ultra-12gb256gb-akilli-telefon-titanyum-1245472.html,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için mağaza ürün sayfası.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
11,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,samsung.com,https://www.samsung.com/us/smartphones/galaxy-s25-ultra/buy,true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Resmî satın alma sayfası 256 GB seçeneğini içeriyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=false@0.2.
12,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,samsung.com,https://www.samsung.com/us/smartphones/galaxy-s25-ultra/buy/galaxy-s25-ultra-256gb-unlocked-sku-sm-s938uzkaxaa,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Resmî satın alma sayfası doğrudan 256 GB varyantına ait.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=false@0.2.
13,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,trendyol.com,https://www.trendyol.com/samsung-galaxy-s25-ultra-cep-telefonu-x-c103498-a292-v10621058,true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Pazaryeri listeleme sayfasında doğru modelin 256 GB ürünleri yer alıyor.,Human review required; observed methods: selenium_nano_llm | selenium_rule_based; predictions: selenium_nano_llm=true@1 | selenium_rule_based=true@1.
14,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,trendyol.com,https://www.trendyol.com/samsung-galaxy-s25-ultra-y-s367626,true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Pazaryeri model sayfasında doğru modelin 256 GB ürünleri yer alıyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@1.
15,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,trendyol.com,https://www.trendyol.com/samsung/galaxy-s25-ultra-256-gb-titanyum-mavi-cep-telefonu-turkiye-garantili-p-897489922,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için doğrudan ürün sayfası.,Human review required; observed methods: agentic_search; predictions: agentic_search=true@1.
16,P026,Xiaomi 15 Ultra 512 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-xiaomi-15-fiyati,594091693.html",false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Sayfa Xiaomi 15 içindir; Ultra modeli değildir.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
17,P026,Xiaomi 15 Ultra 512 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-xiaomi-15-ultra-512gb-16gb-ram-beyaz-fiyatlari,2439752368",true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 512 GB kapasite için fiyat karşılaştırma sayfası.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
18,P026,Xiaomi 15 Ultra 512 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-xiaomi-15-ultra-fiyatlari,a2372365895",true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Model fiyat sayfası 512 GB varyant ve mağaza teklifleri içeriyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85 | tavily_llm=true@1.
19,P026,Xiaomi 15 Ultra 512 GB fiyat,,donanimhaber.com,https://www.donanimhaber.com/amp/xiaomi-15-ultra-tanitildi-iste-ozellikleri-ve-fiyati--188338,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Tanıtım/haber içeriği; satın alma veya fiyat karşılaştırma sonucu değil.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.9.
20,P026,Xiaomi 15 Ultra 512 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/xiaomi-15-ultra.html,true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru modelin 512 GB varyantı için fiyat ve mağaza teklifleri içeriyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=false@0 | tavily_llm=true@1.
21,P026,Xiaomi 15 Ultra 512 GB fiyat,,mi.com,https://www.mi.com/tr/product/xiaomi-15-ultra/buy,true,0.9,medium,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Resmî satın alma sayfasında doğru modelin 512 GB varyantı sunuluyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
22,P026,Xiaomi 15 Ultra 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-xiaomi-15-ultra,true,0.85,medium,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Model ilan sayfasında Xiaomi 15 Ultra 512 GB satış ilanları bulunuyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9.
23,P026,Xiaomi 15 Ultra 512 GB fiyat,,trendyol.com,https://www.trendyol.com/xiaomi/15-ultra-512-gb-siyah-xiaomi-turkiye-garantili-p-903855197,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 512 GB kapasite için doğrudan ürün sayfası.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
