row_number,product_id,keyword,method,domain,url,human_relevant,original_human_decision,human_note,adjudication_required,adjudication_basis,review_status,decision_source
1,P001,Apple iPhone 16 Pro Max 256 GB fiyat,,apple.com,https://www.apple.com/shop/buy-iphone/iphone-16,false,not sure ?,"direk iphone 16 pro max sayfasına atmıyor,Model. Which is best for you? Yazıyor iphone 16 düz yada plus seçme ekranı var",true,"The page is for iPhone 16/16 Plus, not iPhone 16 Pro Max 256 GB.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
2,P001,Apple iPhone 16 Pro Max 256 GB fiyat,,bestbuy.com,https://www.bestbuy.com/site/searchpage.jsp?st=iphone+16+pro+max&id=pcat17071,true,TRUE,"direk tek ürün sayfası değil,birden fazla iphone 16 pro max 256 gb gösteriyor,birden fazla fiyat seçeneği ile,ancak arada 1 tane 1 tb lık versiyonu da gördüm.",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
3,P001,Apple iPhone 16 Pro Max 256 GB fiyat,,ebay.com,https://www.ebay.com/b/Apple-iPhone-16-Pro-Max/9355/bn_7122966045,true,TRUE,"üstteki gibi direk tek ürün sayfası değil birden fazla pro max 256 gb seçeneklerini listeliyor,farklı fiyatlarda.ancak yine 1tb lık versiyonu da görünüyor 1 ürün (yaklaşık 15 tane 256gb lık arasında 1 tane)",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
4,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-256-gb-titanyum-siyah-fiyati,917799231.html",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
5,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-256-gb-titanyum-yesil-fiyati,1044569774.html",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
6,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-fiyati,651960345.html",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
7,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,amazon.com,https://www.amazon.com/SAMSUNG-S25-Ultra-Smartphone-Processor/dp/B0F39CGPQV,true,TRUE,"ürün doğru şekilde listelenenmiş ancak türkiyeye teslimatı yok ""This item cannot be shipped to your selected delivery location. Please choose a different delivery location.""",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
8,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-samsung-galaxy-s25-ultra-256gb-12gb-ram-fiyatlari,a2432333010",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
9,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-samsung-galaxy-s25-ultra-256gb-12gb-ram-mavi-titanyum-fiyatlari,2432116719",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
10,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,mediamarkt.com.tr,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s25-ultra-12gb256gb-akilli-telefon-titanyum-1245472.html,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
11,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,samsung.com,https://www.samsung.com/us/smartphones/galaxy-s25-ultra/buy,true,TRUE?,ürün modeli doğru s25 ultra ancak 1tb lık versiyonu,true,Samsung's official purchase page includes a selectable 256 GB option; the initially selected 1 TB option does not invalidate the page.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
12,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,samsung.com,https://www.samsung.com/us/smartphones/galaxy-s25-ultra/buy/galaxy-s25-ultra-256gb-unlocked-sku-sm-s938uzkaxaa,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
13,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,trendyol.com,https://www.trendyol.com/samsung-galaxy-s25-ultra-cep-telefonu-x-c103498-a292-v10621058,true,TRUE?,"bu site de ubuydaki gibi birden fazla s25 seçeneğini sunuyor,en baştaki s25 ultra 256 gb ancak sonraki gelenler s25 ultra 512 gb,düz s25 vs, tam emin olamadım true sayılır mı diye.",true,The marketplace listing contains purchasable Galaxy S25 Ultra 256 GB products.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
14,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,trendyol.com,https://www.trendyol.com/samsung-galaxy-s25-ultra-y-s367626,true,True?,"bu site de üstteki ile aynı şekilde birden fazla s25 seçeneği sunuyor ancak biraz daha optimize olmuş,ilk 4 seçenek s25 ultra ancak 256,512 1tb seçenekleri,alttakü ürünler ise düz s25 ler, true sayılır mı bilmiyorum",true,The marketplace model page contains purchasable Galaxy S25 Ultra 256 GB products among other variants.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
15,P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,trendyol.com,https://www.trendyol.com/samsung/galaxy-s25-ultra-256-gb-titanyum-mavi-cep-telefonu-turkiye-garantili-p-897489922,true,TRUE,"üstteki iki trendyol linkinin aksine nokta atışı tek ürün sayfasını açıyor keşfetten ziyade,doğru depolama model .",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
16,P026,Xiaomi 15 Ultra 512 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-xiaomi-15-fiyati,594091693.html",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
17,P026,Xiaomi 15 Ultra 512 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-xiaomi-15-ultra-512gb-16gb-ram-beyaz-fiyatlari,2439752368",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
18,P026,Xiaomi 15 Ultra 512 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-xiaomi-15-ultra-fiyatlari,a2372365895",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
19,P026,Xiaomi 15 Ultra 512 GB fiyat,,donanimhaber.com,https://www.donanimhaber.com/amp/xiaomi-15-ultra-tanitildi-iste-ozellikleri-ve-fiyati--188338,false,FALSE,"Bu ürünün satış yeri linkinden ziyade özellikleri ve fiyatını gösteren link,websitesi",false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
20,P026,Xiaomi 15 Ultra 512 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/xiaomi-15-ultra.html,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
21,P026,Xiaomi 15 Ultra 512 GB fiyat,,mi.com,https://www.mi.com/tr/product/xiaomi-15-ultra/buy,true,True ?,"doğru ürünün websitesini açıyor ama 1tb lık versiyonu başta seçili oluyor,yandaki düğmeye basınca 512gb lık fiyatını veriyor,ilk verdiği fiyat 1tb için",true,The official Xiaomi purchase page offers the requested 512 GB variant even though another capacity is initially selected.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
22,P026,Xiaomi 15 Ultra 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-xiaomi-15-ultra,true,TRUE,birden fazla doğru  ürün listeli ama depolama alanları farklı,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
