product_id,product_name,brand,category,category_group,source_url,attributes
ELK001,iPhone 17 256 GB Siyah,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-17-256-gb-siyah-fiyati,1182756127.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK002,iPhone 15 128 GB,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-15-fiyati,1745758198.html","{""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK003,iPhone 17 Pro Max 256 GB,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-17-pro-max-fiyati,370526315.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK004,Samsung Galaxy S25 FE 256 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-fe-fiyati,798379492.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK005,Samsung Galaxy S26 Ultra 256 GB 12 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s26-ultra-fiyati,905288931.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK006,iPhone 17 256 GB,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-17-fiyati,370526300.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK007,Oppo Reno 13 F 256 GB,Oppo,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-oppo-reno-13-f-256-gb-fiyati,979483266.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK008,Xiaomi Redmi Note 15 Pro 256 GB 8 GB,Xiaomi,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-xiaomi-redmi-note-15-pro-256-gb-8-gb-fiyati,1337432076.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK009,Samsung Galaxy S25 256 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-256-gb-fiyati,917781949.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK010,Samsung Galaxy S25 Ultra 256 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-fiyati,651960345.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK011,iPhone 16 128 GB,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-16-fiyati,233850107.html","{""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK012,Xiaomi Redmi 15C 256 GB 8 GB,Xiaomi,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-xiaomi-redmi-15c-fiyati,1114979900.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK013,iPhone 17 Pro 256 GB,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-17-pro-fiyati,370526308.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK014,iPhone 17e 256 GB,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-17e-fiyati,960084398.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK015,Tecno Spark 40 5G 128 GB 6 GB Mavi,Tecno,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-tecno-spark-40-5g-128-gb-6-gb-mavi-fiyati,1479031559.html","{""variant_label"": ""5 g""}"
ELK016,Xiaomi 17T Pro 512 GB,Xiaomi,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-xiaomi-17t-pro-fiyati,1218241657.html","{""storage_gb"": 512, ""variant_label"": ""512 GB""}"
ELK017,Samsung Galaxy A07 128 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-a07-fiyati,1127896958.html","{""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK018,Samsung Galaxy A57 256 GB 8 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-a57-256-gb-fiyati,1465700697.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK019,iPhone 17 256 GB Beyaz,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-17-256-gb-beyaz-fiyati,1182756125.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK020,Samsung Galaxy S26 256 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s26-fiyati,657198191.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
ELK021,iPhone 15 128 GB Siyah,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-15-128-gb-siyah-fiyati,282674948.html","{""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK022,iPhone 17 Pro Max 512 GB,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-17-pro-max-512-gb-fiyati,1182794162.html","{""storage_gb"": 512, ""variant_label"": ""512 GB""}"
ELK023,Poco X8 Pro 512 GB 12 GB,Poco,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-poco-x8-pro-512-gb-12-gb-fiyati,1464313477.html","{""storage_gb"": 512, ""variant_label"": ""512 GB""}"
ELK024,iPhone 15 128 GB Mavi,Apple,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-15-128-gb-mavi-fiyati,282674944.html","{""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK025,Samsung Galaxy S26 Ultra 512 GB 12 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s26-ultra-512-gb-fiyati,1430240500.html","{""storage_gb"": 512, ""variant_label"": ""512 GB""}"
ELK026,Samsung Galaxy A17 5G 256 GB 8 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-a17-fiyati,1050230409.html","{""variant_label"": ""5 g""}"
ELK027,Samsung Galaxy A56 256 GB,Samsung,"Elektronik, Cep Telefonu",elektronik_cep_telefonu,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-a56-fiyati,786484511.html","{""storage_gb"": 256, ""variant_label"": ""256 GB""}"
