product_id,product_name,brand,category,category_group,source_url,attributes
ELK001,Apple iPhone 16 128 GB,Apple,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Apple+iPhone+16+128+GB,"{""ram_gb"": 6, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK002,Apple iPhone 16 Pro 128 GB,Apple,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Apple+iPhone+16+Pro+128+GB,"{""ram_gb"": 8, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK003,Apple iPhone 15 128 GB,Apple,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Apple+iPhone+15+128+GB,"{""ram_gb"": 12, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK004,Samsung Galaxy S25 128 GB,Samsung,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Samsung+Galaxy+S25+128+GB,"{""ram_gb"": 4, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK005,Samsung Galaxy S24 FE 128 GB,Samsung,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Samsung+Galaxy+S24+FE+128+GB,"{""ram_gb"": 6, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK006,Samsung Galaxy A56 128 GB,Samsung,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Samsung+Galaxy+A56+128+GB,"{""ram_gb"": 8, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK007,Xiaomi Redmi Note 14 128 GB,Xiaomi,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Xiaomi+Redmi+Note+14+128+GB,"{""ram_gb"": 12, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK008,Xiaomi Redmi Note 14 Pro 128 GB,Xiaomi,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Xiaomi+Redmi+Note+14+Pro+128+GB,"{""ram_gb"": 4, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK009,Xiaomi Poco X7 128 GB,Xiaomi,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Xiaomi+Poco+X7+128+GB,"{""ram_gb"": 6, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK010,Oppo Reno 12 128 GB,Oppo,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Oppo+Reno+12+128+GB,"{""ram_gb"": 8, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK011,Oppo A80 128 GB,Oppo,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Oppo+A80+128+GB,"{""ram_gb"": 12, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK012,Oppo Find X8 128 GB,Oppo,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Oppo+Find+X8+128+GB,"{""ram_gb"": 4, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK013,Realme 13 Pro 128 GB,Realme,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Realme+13+Pro+128+GB,"{""ram_gb"": 6, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK014,Realme C67 128 GB,Realme,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Realme+C67+128+GB,"{""ram_gb"": 8, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
ELK015,Realme Note 60 128 GB,Realme,Cep Telefonu,elektronik_cep_telefonu,https://www.cimri.com/arama?q=Realme+Note+60+128+GB,"{""ram_gb"": 12, ""storage_gb"": 128, ""variant_label"": ""128 GB""}"
