domain,domain_type,relevance_score
trendyol.com,marketplace,1.0
hepsiburada.com,marketplace,1.0
n11.com,marketplace,1.0
amazon.com.tr,marketplace,1.0
pazarama.com,marketplace,1.0
idefix.com,marketplace,1.0
ciceksepeti.com,marketplace,1.0
mediamarkt.com.tr,retailer,1.0
teknosa.com,retailer,1.0
vatanbilgisayar.com,retailer,1.0
turkcell.com.tr,retailer,0.9
vodafone.com.tr,retailer,0.9
apple.com,manufacturer_store,0.9
samsung.com,manufacturer_store,0.9
mi.com,manufacturer_store,0.9
akakce.com,price_comparison,0.85
cimri.com,price_comparison,0.85
sahibinden.com,classified_marketplace,0.9
kitapyurdu.com,retailer,1.0
dr.com.tr,retailer,1.0
bkmkitap.com,retailer,1.0
gratis.com,retailer,1.0
watsons.com.tr,retailer,1.0
rossmann.com.tr,retailer,1.0
migros.com.tr,retailer,1.0
carrefoursa.com,retailer,1.0
a101.com.tr,retailer,1.0
sokmarket.com.tr,retailer,1.0
getir.com,retailer,0.9
boyner.com.tr,retailer,1.0
lcw.com,retailer,1.0
defacto.com.tr,retailer,1.0
flo.com.tr,retailer,1.0
koton.com,retailer,1.0
ebebek.com,retailer,1.0
toyzzshop.com,retailer,1.0
koctas.com.tr,retailer,1.0
ikea.com.tr,retailer,1.0
bauhaus.com.tr,retailer,1.0
tekzen.com.tr,retailer,1.0
petlebi.com,retailer,1.0
decathlon.com.tr,retailer,1.0
englishhome.com,manufacturer_store,0.9
karaca.com,manufacturer_store,0.9
